statcod;jrsttcd;statnam;naam;dac_cod;dac_id
GM0457;2020GM0457;Weesp;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0589;2020GM0589;Oudewater;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0632;2020GM0632;Woerden;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0736;2020GM0736;De Ronde Venen;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM1581;2020GM1581;Utrechtse Heuvelrug;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM1696;2020GM1696;Wijdemeren;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM1904;2020GM1904;Stichtse Vecht;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM1942;2020GM1942;Gooise Meren;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM1961;2020GM1961;Vijfheerenlanden;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0034;2020GM0034;Almere;Flevoland;FLE;25
GM0050;2020GM0050;Zeewolde;Flevoland;FLE;25
GM0171;2020GM0171;Noordoostpolder;Flevoland;FLE;25
GM0184;2020GM0184;Urk;Flevoland;FLE;25
GM0303;2020GM0303;Dronten;Flevoland;FLE;25
GM0995;2020GM0995;Lelystad;Flevoland;FLE;25
GM0361;2020GM0361;Alkmaar;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0370;2020GM0370;Beemster;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0373;2020GM0373;Bergen (NH.);Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0383;2020GM0383;Castricum;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0385;2020GM0385;Edam-Volendam;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0388;2020GM0388;Enkhuizen;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0398;2020GM0398;Heerhugowaard;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0399;2020GM0399;Heiloo;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0400;2020GM0400;Den Helder;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0405;2020GM0405;Hoorn;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0415;2020GM0415;Landsmeer;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0416;2020GM0416;Langedijk;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0420;2020GM0420;Medemblik;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0431;2020GM0431;Oostzaan;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
